Term,term_full_ID,Pri_Disease_ID,Pri_disease_term
polyneuropathies,c10.668.829.800,c10,nervous system diseases
alcoholic neuropathy,c10.668.829.800.050,c10,nervous system diseases
hereditary sensory and autonomic neuropathies,c10.668.829.800.175,c10,nervous system diseases
"dysautonomia, familial",c10.668.829.800.175.250,c10,nervous system diseases
hereditary sensory and motor neuropathy,c10.668.829.800.300,c10,nervous system diseases
alstrom syndrome,c10.668.829.800.300.099,c10,nervous system diseases
charcot-marie-tooth disease,c10.668.829.800.300.200,c10,nervous system diseases
giant axonal neuropathy,c10.668.829.800.300.490,c10,nervous system diseases
refsum disease,c10.668.829.800.300.780,c10,nervous system diseases
"spastic paraplegia, hereditary",c10.668.829.800.300.820,c10,nervous system diseases
paraneoplastic polyneuropathy,c10.668.829.800.662,c10,nervous system diseases
poems syndrome,c10.668.829.800.700,c10,nervous system diseases
polyradiculoneuropathy,c10.668.829.800.750,c10,nervous system diseases
cauda equina syndrome,c10.668.829.800.750.150,c10,nervous system diseases
guillain-barre syndrome,c10.668.829.800.750.300,c10,nervous system diseases
miller fisher syndrome,c10.668.829.800.750.300.500,c10,nervous system diseases
"polyradiculoneuropathy, chronic inflammatory demyelinating",c10.668.829.800.750.600,c10,nervous system diseases
polyradiculopathy,c10.668.829.800.750.700,c10,nervous system diseases
tangier disease,c10.668.829.800.875,c10,nervous system diseases
radiculopathy,c10.668.829.820,c10,nervous system diseases
small fiber neuropathy,c10.668.829.860,c10,nervous system diseases
tarlov cysts,c10.668.829.900,c10,nervous system diseases
poliomyelitis,c10.668.864,c10,nervous system diseases
"poliomyelitis, bulbar",c10.668.864.250,c10,nervous system diseases
postpoliomyelitis syndrome,c10.668.864.500,c10,nervous system diseases
stiff-person syndrome,c10.668.900,c10,nervous system diseases
neurotoxicity syndromes,c10.720,c10,nervous system diseases
"akathisia, drug-induced",c10.720.075,c10,nervous system diseases
"alcohol-induced disorders, nervous system",c10.720.112,c10,nervous system diseases
alcohol amnestic disorder,c10.720.112.100,c10,nervous system diseases
alcoholic korsakoff syndrome,c10.720.112.100.250,c10,nervous system diseases
alcohol withdrawal delirium,c10.720.112.200,c10,nervous system diseases
alcohol withdrawal seizures,c10.720.112.300,c10,nervous system diseases
alcoholic neuropathy,c10.720.112.400,c10,nervous system diseases
botulism,c10.720.150,c10,nervous system diseases
"dyskinesia, drug-induced",c10.720.312,c10,nervous system diseases
"heavy metal poisoning, nervous system",c10.720.475,c10,nervous system diseases
arsenic poisoning,c10.720.475.150,c10,nervous system diseases
"lead poisoning, nervous system",c10.720.475.400,c10,nervous system diseases
"lead poisoning, nervous system, adult",c10.720.475.400.350,c10,nervous system diseases
"lead poisoning, nervous system, childhood",c10.720.475.400.700,c10,nervous system diseases
manganese poisoning,c10.720.475.500,c10,nervous system diseases
"mercury poisoning, nervous system",c10.720.475.600,c10,nervous system diseases
acrodynia,c10.720.475.600.150,c10,nervous system diseases
mptp poisoning,c10.720.606,c10,nervous system diseases
neuroleptic malignant syndrome,c10.720.737,c10,nervous system diseases
restless legs syndrome,c10.803,c10,nervous system diseases
sleep wake disorders,c10.886,c10,nervous system diseases
dyssomnias,c10.886.425,c10,nervous system diseases
sleep deprivation,c10.886.425.175,c10,nervous system diseases
"sleep disorders, circadian rhythm",c10.886.425.200,c10,nervous system diseases
jet lag syndrome,c10.886.425.200.500,c10,nervous system diseases
"sleep disorders, intrinsic",c10.886.425.800,c10,nervous system diseases
disorders of excessive somnolence,c10.886.425.800.200,c10,nervous system diseases
idiopathic hypersomnia,c10.886.425.800.200.400,c10,nervous system diseases
kleine-levin syndrome,c10.886.425.800.200.500,c10,nervous system diseases
narcolepsy,c10.886.425.800.200.750,c10,nervous system diseases
cataplexy,c10.886.425.800.200.750.500,c10,nervous system diseases
nocturnal myoclonus syndrome,c10.886.425.800.600,c10,nervous system diseases
restless legs syndrome,c10.886.425.800.700,c10,nervous system diseases
sleep apnea syndromes,c10.886.425.800.750,c10,nervous system diseases
"sleep apnea, central",c10.886.425.800.750.800,c10,nervous system diseases
"sleep apnea, obstructive",c10.886.425.800.750.850,c10,nervous system diseases
obesity hypoventilation syndrome,c10.886.425.800.750.850.500,c10,nervous system diseases
sleep initiation and maintenance disorders,c10.886.425.800.800,c10,nervous system diseases
"insomnia, fatal familial",c10.886.425.800.800.400,c10,nervous system diseases
parasomnias,c10.886.659,c10,nervous system diseases
nocturnal myoclonus syndrome,c10.886.659.618,c10,nervous system diseases
nocturnal paroxysmal dystonia,c10.886.659.627,c10,nervous system diseases
rem sleep parasomnias,c10.886.659.633,c10,nervous system diseases
rem sleep behavior disorder,c10.886.659.633.700,c10,nervous system diseases
sleep paralysis,c10.886.659.633.800,c10,nervous system diseases
restless legs syndrome,c10.886.659.634,c10,nervous system diseases
sleep arousal disorders,c10.886.659.635,c10,nervous system diseases
night terrors,c10.886.659.635.600,c10,nervous system diseases
somnambulism,c10.886.659.635.700,c10,nervous system diseases
sleep bruxism,c10.886.659.637,c10,nervous system diseases
sleep-wake transition disorders,c10.886.659.700,c10,nervous system diseases
"trauma, nervous system",c10.900,c10,nervous system diseases
cerebrovascular trauma,c10.900.250,c10,nervous system diseases
carotid artery injuries,c10.900.250.300,c10,nervous system diseases
"carotid artery, internal, dissection",c10.900.250.300.300,c10,nervous system diseases
carotid-cavernous sinus fistula,c10.900.250.300.400,c10,nervous system diseases
vertebral artery dissection,c10.900.250.650,c10,nervous system diseases
craniocerebral trauma,c10.900.300,c10,nervous system diseases
brain injuries,c10.900.300.087,c10,nervous system diseases
"brain hemorrhage, traumatic",c10.900.300.087.187,c10,nervous system diseases
"brain stem hemorrhage, traumatic",c10.900.300.087.187.200,c10,nervous system diseases
"cerebral hemorrhage, traumatic",c10.900.300.087.187.300,c10,nervous system diseases
"brain injuries, diffuse",c10.900.300.087.219,c10,nervous system diseases
diffuse axonal injury,c10.900.300.087.219.500,c10,nervous system diseases
"brain injuries, traumatic",c10.900.300.087.235,c10,nervous system diseases
brain concussion,c10.900.300.087.235.250,c10,nervous system diseases
brain contusion,c10.900.300.087.235.375,c10,nervous system diseases
chronic traumatic encephalopathy,c10.900.300.087.235.500,c10,nervous system diseases
"brain injury, chronic",c10.900.300.087.250,c10,nervous system diseases
chronic traumatic encephalopathy,c10.900.300.087.250.500,c10,nervous system diseases
"epilepsy, post-traumatic",c10.900.300.087.600,c10,nervous system diseases
pneumocephalus,c10.900.300.087.700,c10,nervous system diseases
shaken baby syndrome,c10.900.300.087.850,c10,nervous system diseases
cerebrospinal fluid leak,c10.900.300.109,c10,nervous system diseases
cerebrospinal fluid otorrhea,c10.900.300.109.500,c10,nervous system diseases
cerebrospinal fluid rhinorrhea,c10.900.300.109.750,c10,nervous system diseases
"coma, post-head injury",c10.900.300.175,c10,nervous system diseases
cranial nerve injuries,c10.900.300.218,c10,nervous system diseases
abducens nerve injury,c10.900.300.218.150,c10,nervous system diseases
accessory nerve injuries,c10.900.300.218.225,c10,nervous system diseases
facial nerve injuries,c10.900.300.218.300,c10,nervous system diseases
glossopharyngeal nerve injuries,c10.900.300.218.331,c10,nervous system diseases
hypoglossal nerve injuries,c10.900.300.218.362,c10,nervous system diseases
oculomotor nerve injuries,c10.900.300.218.456,c10,nervous system diseases
olfactory nerve injuries,c10.900.300.218.487,c10,nervous system diseases
optic nerve injuries,c10.900.300.218.550,c10,nervous system diseases
toxic optic neuropathy,c10.900.300.218.550.500,c10,nervous system diseases
trigeminal nerve injuries,c10.900.300.218.775,c10,nervous system diseases
lingual nerve injuries,c10.900.300.218.775.500,c10,nervous system diseases
mandibular nerve injuries,c10.900.300.218.775.750,c10,nervous system diseases
trochlear nerve injuries,c10.900.300.218.831,c10,nervous system diseases
vagus nerve injuries,c10.900.300.218.887,c10,nervous system diseases
laryngeal nerve injuries,c10.900.300.218.887.750,c10,nervous system diseases
recurrent laryngeal nerve injuries,c10.900.300.218.887.750.500,c10,nervous system diseases
vestibulocochlear nerve injuries,c10.900.300.218.943,c10,nervous system diseases
facial injuries,c10.900.300.284,c10,nervous system diseases
eye injuries,c10.900.300.284.250,c10,nervous system diseases
corneal injuries,c10.900.300.284.250.124,c10,nervous system diseases
corneal perforation,c10.900.300.284.250.124.500,c10,nervous system diseases
eye burns,c10.900.300.284.250.250,c10,nervous system diseases
eye foreign bodies,c10.900.300.284.250.260,c10,nervous system diseases
"eye injuries, penetrating",c10.900.300.284.250.270,c10,nervous system diseases
maxillofacial injuries,c10.900.300.284.500,c10,nervous system diseases
jaw fractures,c10.900.300.284.500.400,c10,nervous system diseases
mandibular fractures,c10.900.300.284.500.400.255,c10,nervous system diseases
maxillary fractures,c10.900.300.284.500.400.510,c10,nervous system diseases
mandibular injuries,c10.900.300.284.500.500,c10,nervous system diseases
orbital fractures,c10.900.300.284.500.550,c10,nervous system diseases
zygomatic fractures,c10.900.300.284.500.950,c10,nervous system diseases
"head injuries, closed",c10.900.300.350,c10,nervous system diseases
brain concussion,c10.900.300.350.300,c10,nervous system diseases
contrecoup injury,c10.900.300.350.300.250,c10,nervous system diseases
post-concussion syndrome,c10.900.300.350.300.500,c10,nervous system diseases
"head injuries, penetrating",c10.900.300.675,c10,nervous system diseases
"intracranial hemorrhage, traumatic",c10.900.300.837,c10,nervous system diseases
"brain hemorrhage, traumatic",c10.900.300.837.150,c10,nervous system diseases
"brain stem hemorrhage, traumatic",c10.900.300.837.150.300,c10,nervous system diseases
"cerebral hemorrhage, traumatic",c10.900.300.837.150.650,c10,nervous system diseases
"hematoma, epidural, cranial",c10.900.300.837.300,c10,nervous system diseases
"hematoma, subdural",c10.900.300.837.600,c10,nervous system diseases
"hematoma, subdural, acute",c10.900.300.837.600.050,c10,nervous system diseases
"hematoma, subdural, chronic",c10.900.300.837.600.120,c10,nervous system diseases
"hematoma, subdural, intracranial",c10.900.300.837.600.400,c10,nervous system diseases
"subarachnoid hemorrhage, traumatic",c10.900.300.837.800,c10,nervous system diseases
skull fractures,c10.900.300.918,c10,nervous system diseases
"skull fracture, basilar",c10.900.300.918.150,c10,nervous system diseases
"skull fracture, depressed",c10.900.300.918.300,c10,nervous system diseases
peripheral nerve injuries,c10.900.575,c10,nervous system diseases
spinal cord injuries,c10.900.850,c10,nervous system diseases
autonomic dysreflexia,c10.900.850.250,c10,nervous system diseases
central cord syndrome,c10.900.850.625,c10,nervous system diseases
eye diseases,c11,c11,eye diseases
asthenopia,c11.093,c11,eye diseases
cogan syndrome,c11.180,c11,eye diseases
conjunctival diseases,c11.187,c11,eye diseases
conjunctival neoplasms,c11.187.169,c11,eye diseases
conjunctivitis,c11.187.183,c11,eye diseases
"conjunctivitis, allergic",c11.187.183.200,c11,eye diseases
"conjunctivitis, bacterial",c11.187.183.220,c11,eye diseases
"conjunctivitis, inclusion",c11.187.183.220.250,c11,eye diseases
ophthalmia neonatorum,c11.187.183.220.538,c11,eye diseases
trachoma,c11.187.183.220.889,c11,eye diseases
"conjunctivitis, viral",c11.187.183.240,c11,eye diseases
"conjunctivitis, acute hemorrhagic",c11.187.183.240.216,c11,eye diseases
keratoconjunctivitis,c11.187.183.394,c11,eye diseases
keratoconjunctivitis sicca,c11.187.183.394.500,c11,eye diseases
"keratoconjunctivitis, infectious",c11.187.183.394.520,c11,eye diseases
"pemphigoid, benign mucous membrane",c11.187.482,c11,eye diseases
pinguecula,c11.187.631,c11,eye diseases
pterygium,c11.187.781,c11,eye diseases
xerophthalmia,c11.187.810,c11,eye diseases
corneal diseases,c11.204,c11,eye diseases
"corneal dystrophies, hereditary",c11.204.236,c11,eye diseases
"corneal dystrophy, juvenile epithelial of meesmann",c11.204.236.218,c11,eye diseases
fuchs' endothelial dystrophy,c11.204.236.438,c11,eye diseases
corneal edema,c11.204.267,c11,eye diseases
corneal endothelial cell loss,c11.204.278,c11,eye diseases
corneal injuries,c11.204.284,c11,eye diseases
corneal perforation,c11.204.284.500,c11,eye diseases
corneal neovascularization,c11.204.290,c11,eye diseases
corneal opacity,c11.204.299,c11,eye diseases
arcus senilis,c11.204.299.070,c11,eye diseases
corneal wavefront aberration,c11.204.431,c11,eye diseases
iridocorneal endothelial syndrome,c11.204.497,c11,eye diseases
keratitis,c11.204.564,c11,eye diseases
acanthamoeba keratitis,c11.204.564.112,c11,eye diseases
corneal ulcer,c11.204.564.225,c11,eye diseases
"keratitis, herpetic",c11.204.564.425,c11,eye diseases
"keratitis, dendritic",c11.204.564.425.450,c11,eye diseases
keratoconjunctivitis,c11.204.564.585,c11,eye diseases
"keratoconjunctivitis, infectious",c11.204.564.585.500,c11,eye diseases
keratoconjunctivitis sicca,c11.204.564.585.630,c11,eye diseases
keratoconus,c11.204.627,c11,eye diseases
trachoma,c11.204.813,c11,eye diseases
eye abnormalities,c11.250,c11,eye diseases
aniridia,c11.250.060,c11,eye diseases
wagr syndrome,c11.250.060.950,c11,eye diseases
anophthalmos,c11.250.080,c11,eye diseases
blepharophimosis,c11.250.090,c11,eye diseases
choroidal effusions,c11.250.105,c11,eye diseases
cyclodialysis clefts,c11.250.105.250,c11,eye diseases
uveal effusion syndrome,c11.250.105.500,c11,eye diseases
coloboma,c11.250.110,c11,eye diseases
ectopia lentis,c11.250.300,c11,eye diseases
familial exudative vitreoretinopathies,c11.250.345,c11,eye diseases
fraser syndrome,c11.250.390,c11,eye diseases
hydrophthalmos,c11.250.480,c11,eye diseases
microphthalmos,c11.250.566,c11,eye diseases
persistent hyperplastic primary vitreous,c11.250.616,c11,eye diseases
retinal dysplasia,c11.250.666,c11,eye diseases
"eye diseases, hereditary",c11.270,c11,eye diseases
aicardi syndrome,c11.270.019,c11,eye diseases
albinism,c11.270.040,c11,eye diseases
"albinism, ocular",c11.270.040.090,c11,eye diseases
"albinism, oculocutaneous",c11.270.040.545,c11,eye diseases
hermanski-pudlak syndrome,c11.270.040.545.400,c11,eye diseases
chediak-higashi syndrome,c11.270.040.772,c11,eye diseases
aleutian mink disease,c11.270.040.772.270,c11,eye diseases
aniridia,c11.270.060,c11,eye diseases
wagr syndrome,c11.270.060.950,c11,eye diseases
choroideremia,c11.270.142,c11,eye diseases
coloboma,c11.270.147,c11,eye diseases
charge syndrome,c11.270.147.500,c11,eye diseases
mandibulofacial dysostosis,c11.270.147.750,c11,eye diseases
cone dystrophy,c11.270.151,c11,eye diseases
color vision defects,c11.270.151.500,c11,eye diseases
cone-rod dystrophies,c11.270.152,c11,eye diseases
"corneal dystrophies, hereditary",c11.270.162,c11,eye diseases
"corneal dystrophy, juvenile epithelial of meesmann",c11.270.162.218,c11,eye diseases
fuchs' endothelial dystrophy,c11.270.162.438,c11,eye diseases
duane retraction syndrome,c11.270.235,c11,eye diseases
familial exudative vitreoretinopathies,c11.270.238,c11,eye diseases
graves ophthalmopathy,c11.270.240,c11,eye diseases
gyrate atrophy,c11.270.468,c11,eye diseases
leber congenital amaurosis,c11.270.516,c11,eye diseases
"optic atrophies, hereditary",c11.270.564,c11,eye diseases
"optic atrophy, autosomal dominant",c11.270.564.100,c11,eye diseases
"optic atrophy, hereditary, leber",c11.270.564.400,c11,eye diseases
wolfram syndrome,c11.270.564.980,c11,eye diseases
optic nerve hypoplasia,c11.270.588,c11,eye diseases
retinal degeneration,c11.270.612,c11,eye diseases
retinal dysplasia,c11.270.660,c11,eye diseases
retinitis pigmentosa,c11.270.684,c11,eye diseases
alstrom syndrome,c11.270.684.249,c11,eye diseases
bardet-biedl syndrome,c11.270.684.624,c11,eye diseases
retinoblastoma,c11.270.862,c11,eye diseases
stargardt disease,c11.270.872,c11,eye diseases
walker-warburg syndrome,c11.270.881,c11,eye diseases
weill-marchesani syndrome,c11.270.921,c11,eye diseases
eye hemorrhage,c11.290,c11,eye diseases
choroid hemorrhage,c11.290.195,c11,eye diseases
hyphema,c11.290.484,c11,eye diseases
retinal hemorrhage,c11.290.807,c11,eye diseases
vitreous hemorrhage,c11.290.960,c11,eye diseases
eye infections,c11.294,c11,eye diseases
corneal ulcer,c11.294.177,c11,eye diseases
endophthalmitis,c11.294.265,c11,eye diseases
"uveitis, suppurative",c11.294.265.500,c11,eye diseases
"eye infections, bacterial",c11.294.354,c11,eye diseases
"conjunctivitis, bacterial",c11.294.354.220,c11,eye diseases
"conjunctivitis, inclusion",c11.294.354.220.250,c11,eye diseases
ophthalmia neonatorum,c11.294.354.220.625,c11,eye diseases
trachoma,c11.294.354.220.800,c11,eye diseases
hordeolum,c11.294.354.400,c11,eye diseases
"keratoconjunctivitis, infectious",c11.294.354.450,c11,eye diseases
"tuberculosis, ocular",c11.294.354.800,c11,eye diseases
"uveitis, suppurative",c11.294.354.900,c11,eye diseases
panophthalmitis,c11.294.354.900.675,c11,eye diseases
"eye infections, fungal",c11.294.450,c11,eye diseases
"uveitis, suppurative",c11.294.450.900,c11,eye diseases
panophthalmitis,c11.294.450.900.675,c11,eye diseases
"eye infections, parasitic",c11.294.725,c11,eye diseases
acanthamoeba keratitis,c11.294.725.125,c11,eye diseases
"onchocerciasis, ocular",c11.294.725.562,c11,eye diseases
"toxoplasmosis, ocular",c11.294.725.781,c11,eye diseases
"eye infections, viral",c11.294.800,c11,eye diseases
"conjunctivitis, viral",c11.294.800.250,c11,eye diseases
"conjunctivitis, acute hemorrhagic",c11.294.800.250.250,c11,eye diseases
cytomegalovirus retinitis,c11.294.800.270,c11,eye diseases
herpes zoster ophthalmicus,c11.294.800.450,c11,eye diseases
"keratitis, herpetic",c11.294.800.475,c11,eye diseases
"keratitis, dendritic",c11.294.800.475.450,c11,eye diseases
eye injuries,c11.297,c11,eye diseases
"anterior capsular rupture, ocular",c11.297.249,c11,eye diseases
corneal injuries,c11.297.374,c11,eye diseases
corneal perforation,c11.297.374.500,c11,eye diseases
"posterior capsular rupture, ocular",c11.297.500,c11,eye diseases
eye manifestations,c11.300,c11,eye diseases
corneal endothelial cell loss,c11.300.250,c11,eye diseases
eye pain,c11.300.500,c11,eye diseases
eye neoplasms,c11.319,c11,eye diseases
conjunctival neoplasms,c11.319.217,c11,eye diseases
eyelid neoplasms,c11.319.421,c11,eye diseases
orbital neoplasms,c11.319.457,c11,eye diseases
"paraneoplastic syndromes, ocular",c11.319.466,c11,eye diseases
retinal neoplasms,c11.319.475,c11,eye diseases
retinoblastoma,c11.319.475.760,c11,eye diseases
uveal neoplasms,c11.319.494,c11,eye diseases
choroid neoplasms,c11.319.494.198,c11,eye diseases
iris neoplasms,c11.319.494.400,c11,eye diseases
eyelid diseases,c11.338,c11,eye diseases
blepharitis,c11.338.133,c11,eye diseases
blepharophimosis,c11.338.190,c11,eye diseases
blepharoptosis,c11.338.204,c11,eye diseases
blepharospasm,c11.338.250,c11,eye diseases
chalazion,c11.338.300,c11,eye diseases
ectropion,c11.338.362,c11,eye diseases
entropion,c11.338.443,c11,eye diseases
eyelid neoplasms,c11.338.526,c11,eye diseases
hordeolum,c11.338.648,c11,eye diseases
meibomian gland dysfunction,c11.338.780,c11,eye diseases
trichiasis,c11.338.912,c11,eye diseases
lacrimal apparatus diseases,c11.496,c11,eye diseases
dacryocystitis,c11.496.221,c11,eye diseases
canaliculitis,c11.496.221.500,c11,eye diseases
dry eye syndromes,c11.496.260,c11,eye diseases
keratoconjunctivitis sicca,c11.496.260.394,c11,eye diseases
sjogren's syndrome,c11.496.260.719,c11,eye diseases
xerophthalmia,c11.496.260.892,c11,eye diseases
lacrimal duct obstruction,c11.496.456,c11,eye diseases
lens diseases,c11.510,c11,eye diseases
aphakia,c11.510.103,c11,eye diseases
"aphakia, postcataract",c11.510.103.110,c11,eye diseases
artificial lens implant migration,c11.510.174,c11,eye diseases
cataract,c11.510.245,c11,eye diseases
capsule opacification,c11.510.245.500,c11,eye diseases
lens subluxation,c11.510.598,c11,eye diseases
ectopia lentis,c11.510.598.373,c11,eye diseases
ocular hypertension,c11.525,c11,eye diseases
glaucoma,c11.525.381,c11,eye diseases
"glaucoma, angle-closure",c11.525.381.056,c11,eye diseases
"glaucoma, neovascular",c11.525.381.348,c11,eye diseases
"glaucoma, open-angle",c11.525.381.407,c11,eye diseases
hydrophthalmos,c11.525.381.407.480,c11,eye diseases
low tension glaucoma,c11.525.381.703,c11,eye diseases
ocular hypotension,c11.540,c11,eye diseases
ocular motility disorders,c11.590,c11,eye diseases
duane retraction syndrome,c11.590.224,c11,eye diseases
miller fisher syndrome,c11.590.312,c11,eye diseases
"nystagmus, pathologic",c11.590.400,c11,eye diseases
"nystagmus, congenital",c11.590.400.300,c11,eye diseases
oculomotor nerve diseases,c11.590.436,c11,eye diseases
adie syndrome,c11.590.436.200,c11,eye diseases
oculomotor nerve injuries,c11.590.436.600,c11,eye diseases
ophthalmoplegia,c11.590.472,c11,eye diseases
"ophthalmoplegia, chronic progressive external",c11.590.472.250,c11,eye diseases
kearns-sayre syndrome,c11.590.472.250.500,c11,eye diseases
ophthalmoplegic migraine,c11.590.472.375,c11,eye diseases
"supranuclear palsy, progressive",c11.590.472.500,c11,eye diseases
opsoclonus-myoclonus syndrome,c11.590.725,c11,eye diseases
strabismus,c11.590.810,c11,eye diseases
esotropia,c11.590.810.400,c11,eye diseases
exotropia,c11.590.810.440,c11,eye diseases
tolosa-hunt syndrome,c11.590.905,c11,eye diseases
optic nerve diseases,c11.640,c11,eye diseases
low tension glaucoma,c11.640.225,c11,eye diseases
optic atrophy,c11.640.451,c11,eye diseases
"optic atrophies, hereditary",c11.640.451.451,c11,eye diseases
"optic atrophy, autosomal dominant",c11.640.451.451.100,c11,eye diseases
"optic atrophy, hereditary, leber",c11.640.451.451.400,c11,eye diseases
wolfram syndrome,c11.640.451.451.980,c11,eye diseases
optic disk drusen,c11.640.513,c11,eye diseases
optic nerve hypoplasia,c11.640.522,c11,eye diseases
optic nerve injuries,c11.640.530,c11,eye diseases
toxic optic neuropathy,c11.640.530.500,c11,eye diseases
optic nerve neoplasms,c11.640.544,c11,eye diseases
optic nerve glioma,c11.640.544.500,c11,eye diseases
optic neuritis,c11.640.576,c11,eye diseases
neuromyelitis optica,c11.640.576.695,c11,eye diseases
"optic neuropathy, ischemic",c11.640.643,c11,eye diseases
papilledema,c11.640.710,c11,eye diseases
orbital diseases,c11.675,c11,eye diseases
enophthalmos,c11.675.319,c11,eye diseases
exophthalmos,c11.675.349,c11,eye diseases
graves disease,c11.675.349.500,c11,eye diseases
graves ophthalmopathy,c11.675.349.500.500,c11,eye diseases
orbital cellulitis,c11.675.387,c11,eye diseases
orbital myositis,c11.675.426,c11,eye diseases
orbital neoplasms,c11.675.659,c11,eye diseases
orbital pseudotumor,c11.675.679,c11,eye diseases
pott puffy tumor,c11.675.689,c11,eye diseases
retrobulbar hemorrhage,c11.675.700,c11,eye diseases
pupil disorders,c11.710,c11,eye diseases
anisocoria,c11.710.090,c11,eye diseases
miosis,c11.710.528,c11,eye diseases
horner syndrome,c11.710.528.500,c11,eye diseases
mydriasis,c11.710.570,c11,eye diseases
tonic pupil,c11.710.800,c11,eye diseases
adie syndrome,c11.710.800.180,c11,eye diseases
refractive errors,c11.744,c11,eye diseases
aniseikonia,c11.744.116,c11,eye diseases
anisometropia,c11.744.126,c11,eye diseases
astigmatism,c11.744.212,c11,eye diseases
corneal wavefront aberration,c11.744.345,c11,eye diseases
hyperopia,c11.744.479,c11,eye diseases
myopia,c11.744.636,c11,eye diseases
"myopia, degenerative",c11.744.636.500,c11,eye diseases
presbyopia,c11.744.786,c11,eye diseases
retinal diseases,c11.768,c11,eye diseases
angioid streaks,c11.768.094,c11,eye diseases
central serous chorioretinopathy,c11.768.175,c11,eye diseases
cone dystrophy,c11.768.216,c11,eye diseases
diabetic retinopathy,c11.768.257,c11,eye diseases
epiretinal membrane,c11.768.328,c11,eye diseases
familial exudative vitreoretinopathies,c11.768.337,c11,eye diseases
hypertensive retinopathy,c11.768.346,c11,eye diseases
retinal arterial macroaneurysm,c11.768.346.500,c11,eye diseases
leber congenital amaurosis,c11.768.364,c11,eye diseases
retinal artery occlusion,c11.768.400,c11,eye diseases
susac syndrome,c11.768.400.500,c11,eye diseases
retinal degeneration,c11.768.585,c11,eye diseases
macular degeneration,c11.768.585.439,c11,eye diseases
geographic atrophy,c11.768.585.439.122,c11,eye diseases
macular edema,c11.768.585.439.245,c11,eye diseases
stargardt disease,c11.768.585.439.339,c11,eye diseases
vitelliform macular dystrophy,c11.768.585.439.433,c11,eye diseases
wet macular degeneration,c11.768.585.439.622,c11,eye diseases
retinal drusen,c11.768.585.585,c11,eye diseases
retinal dystrophies,c11.768.585.658,c11,eye diseases
cone-rod dystrophies,c11.768.585.658.250,c11,eye diseases
retinitis pigmentosa,c11.768.585.658.500,c11,eye diseases
kearns-sayre syndrome,c11.768.585.658.500.627,c11,eye diseases
usher syndromes,c11.768.585.658.500.813,c11,eye diseases
retinoschisis,c11.768.585.865,c11,eye diseases
retinal detachment,c11.768.648,c11,eye diseases
retinal dysplasia,c11.768.660,c11,eye diseases
retinal hemorrhage,c11.768.710,c11,eye diseases
retinal neoplasms,c11.768.717,c11,eye diseases
retinoblastoma,c11.768.717.760,c11,eye diseases
retinal neovascularization,c11.768.725,c11,eye diseases
retinal perforations,c11.768.740,c11,eye diseases
retinal telangiectasis,c11.768.748,c11,eye diseases
retinal vasculitis,c11.768.757,c11,eye diseases
retinal vein occlusion,c11.768.760,c11,eye diseases
retinitis,c11.768.773,c11,eye diseases
chorioretinitis,c11.768.773.348,c11,eye diseases
birdshot chorioretinopathy,c11.768.773.348.500,c11,eye diseases
cytomegalovirus retinitis,c11.768.773.360,c11,eye diseases
"retinal necrosis syndrome, acute",c11.768.773.674,c11,eye diseases
retinopathy of prematurity,c11.768.836,c11,eye diseases
"vitreoretinopathy, proliferative",c11.768.890,c11,eye diseases
scleral diseases,c11.790,c11,eye diseases
scleritis,c11.790.500,c11,eye diseases
uveal diseases,c11.941,c11,eye diseases
choroid diseases,c11.941.160,c11,eye diseases
choroid hemorrhage,c11.941.160.177,c11,eye diseases
choroid neoplasms,c11.941.160.238,c11,eye diseases
choroidal effusions,c11.941.160.241,c11,eye diseases
cyclodialysis clefts,c11.941.160.241.250,c11,eye diseases
uveal effusion syndrome,c11.941.160.241.500,c11,eye diseases
choroidal neovascularization,c11.941.160.244,c11,eye diseases
choroideremia,c11.941.160.300,c11,eye diseases
choroiditis,c11.941.160.478,c11,eye diseases
chorioretinitis,c11.941.160.478.400,c11,eye diseases
birdshot chorioretinopathy,c11.941.160.478.400.500,c11,eye diseases
multifocal choroiditis,c11.941.160.478.550,c11,eye diseases
pars planitis,c11.941.160.478.700,c11,eye diseases
gyrate atrophy,c11.941.160.578,c11,eye diseases
iris diseases,c11.941.375,c11,eye diseases
aniridia,c11.941.375.060,c11,eye diseases
wagr syndrome,c11.941.375.060.950,c11,eye diseases
exfoliation syndrome,c11.941.375.285,c11,eye diseases
iridocorneal endothelial syndrome,c11.941.375.322,c11,eye diseases
iridocyclitis,c11.941.375.360,c11,eye diseases
iris neoplasms,c11.941.375.375,c11,eye diseases
iritis,c11.941.375.385,c11,eye diseases
uveal neoplasms,c11.941.855,c11,eye diseases
choroid neoplasms,c11.941.855.198,c11,eye diseases
iris neoplasms,c11.941.855.400,c11,eye diseases
uveitis,c11.941.879,c11,eye diseases
panuveitis,c11.941.879.780,c11,eye diseases
"ophthalmia, sympathetic",c11.941.879.780.500,c11,eye diseases
"uveitis, anterior",c11.941.879.780.880,c11,eye diseases
behcet syndrome,c11.941.879.780.880.200,c11,eye diseases
iridocyclitis,c11.941.879.780.880.400,c11,eye diseases
iritis,c11.941.879.780.880.448,c11,eye diseases
"uveitis, posterior",c11.941.879.780.900,c11,eye diseases
choroiditis,c11.941.879.780.900.300,c11,eye diseases
chorioretinitis,c11.941.879.780.900.300.318,c11,eye diseases
